org_name,org_uuid,long_description
Finxact,9ad6b946-2d95-ae63-7b4d-d5ae1815995f,"Finxact is innovating the first enterprise class public cloud/private data Core-as-a-Service platform with a completely open banking API. The Finxact Core will allow banks to seamlessly deliver new services for today’s omni-channel consumer. The Finxact team has been at the forefront of banking software for 35+ years, revolutionizing the industry in the 1990s with the first real-time core banking solutions for Internet banks, and is now creating a new cloud-based core banking solution for today’s real-time, digital-first world. Learn more at www.Finxact.com."
Fireblocks,3ef1b4f3-3a4d-4f38-a6d9-7da83bc78edf,"Fireblocks is a platform that protects digital assets in transit, focusing on protecting the transmission of customers' digital assets between exchanges, counter brokers, hot wallets, and cold stores. Fireblocks enables banks, fintech, exchanges, liquidity providers, OTCs, and hedge funds to securely manage digital assets across a wide range of products and services. The technology consists of the Fireblocks Network and MPC-based Wallet Infrastructure."
Firebolt,c83a7fe3-70f3-4bfd-bc72-cde5cdb15156,"Firebolt is the cloud data warehouse for builders of next-gen analytics experiences. Combining the benefits and ease-of-use of a modern architecture with sub-second performance at terabyte scale, Firebolt helps data engineering and dev teams deliver data applications that end-users love. The company was founded in 2019 and is based in Tel Aviv, Israel."
Firework,687c4f62-a357-4eec-aa3f-c96594282461,"Firework is the global leader in bringing next generation customer experience to the open web. Firework empowers retailers, consumer brands, and publishers to build engaging, reliable, instant-on livestream and shoppable video experience on their own websites in days at a global scale. With the authenticity and the real-time interactions enabled by the modern formats, Firework empowers businesses to build a deep connection with the young generation of consumers and own the data and the experience, without dependence on social media platforms."
FirstCry,bbde881e-83f8-5271-63aa-72607590bde9,"FirstCry is an online portal for baby products and toys. They have over 20000+ items from 250+ top International and Indian brands like Mattel, Ben10, Pigeon, Funskool, Hotwheels, Nuby, Farlin, Medela, Pampers, Disney, Barbie, Gerber, Zapak, Mee Mee, and so on. The company provides best of the products and brands at the best prices with quality online shopping experience, fast and reliable delivery service, and a prompt customer care. FirstCry was founded in 2010 and is based in Pune, India."
FiscalNote,bb18c428-5b0c-9d4d-e175-02382de8f32a,"FiscalNote uses artificial intelligence and big data to deliver immediate predictive analytics of governmental action to pinpoint impact. FiscalNote's flagship platform provides real-time legislative predictive capabilities as well as enterprise collaboration and visualization tools for data on campaign finance, demographics, news, and open data to government relations professionals to help them make faster decisions."
Fisker,b9c7ca1d-5afc-41cd-a478-6f4096c2bdbf,"Fisker is a designer and manufacturer of emotion-stirring, eco-friendly electric vehicles. The company was founded in 2016 and is based in Los Angeles, California."
Fiture,fd533414-ad99-421c-82a6-d20830bbb66f,"Fiture, a fitness technology company, is redefining the home fitness scenarios through intelligent hardware and AI-empowered fitness content."
Fivetran,04f3819f-c640-b2fc-f11b-16d30c3bb9d1,"Fivetran offers automated data integration, and delivers ready to use connectors that automatically adapt as schemas and APIs change, ensuring consistent, reliable access to data. Fivetran improves the accuracy of data driven decisions by continuously synchronizing data from source applications to any destination, allowing analysts to work with the freshest possible data. To accelerate analytics, Fivetran enables in warehouse transformations and delivers source specific analytics templates."
Flexe,3dff3656-fab0-dbf2-22a5-d96897fe4549,"Flexe delivers omnichannel logistics programs for eCommerce fulfillment, retail distribution, same-day delivery, and network capacity.The world's leading retailers and brands solve the most complex omnichannel logistics problems with Flexe. Integrating technology, open logistics networks, and elastic economic models allows Flexe customers to move fast, at scale, and with precision. Founded in 2013 and headquartered in Seattle, Flexe brings deep logistics expertise and enterprise-grade technology to deliver innovative eCommerce fulfillment, retail distribution, same-day delivery, and network capacity programs to the Fortune 500. Flexe. The intersection of logistics and technology. Learn more at www.flexe.com"
Flexport,283fed71-eb41-8a76-bf46-06787c3981e5,"Flexport is a full-service global freight forwarder and logistics platform using modern software to fix the user experience in global trade. The platform arranges goods to be transported and tracks the inventory in real-time in orders carried by the ocean, air, and road freight, enabling logistics companies to optimize transportation routes and inventory management. It is a licensed customs brokerage and freight forwarder built around a modern web application. Its freight service includes an online dashboard for businesses to easily understand, purchase, manage, and track the services required for global trade. Its team of logistics experts lets focus on core business by ensuring goods arrive at fulfillment/distribution centers on time and at the lowest cost. Flexport's mission is to fix the user experience in global trade and bring the world free trade through technology. The company was founded in 2013 by Ryan Petersen and is based in San Francisco, California."
Flink Food,cbe66303-6336-4cc4-88d2-9a69d2c48f24,"Flink is a developer of an online platform used to offer and deliver multi-category grocery products. Its application offers a wide selection of convenience items like fresh herbs, fruits, bread, essentials, and home supplies among others that enable people to get necessaries delivered to the door within ten minutes while saving transit costs. The company was founded in 2020 and is headquartered in Berlin, Germany."
FlipOS,7afe5249-f13c-4c60-a6fe-8fd369867d5b,"FlipOS is a b2b Decentralized iBuyer, tailor made for professionals. Stoa partners with real estate investors who buy, renovate and sell single family homes. We fund their deals, create the renovation scope and purchase the properties from them at the end of the renovation. Our proprietary technology allows us to significantly shorten the process without compromising the quality of service."
Flipdish,dcebef2a-baa9-0fc1-8a38-9a6145e2794a,Flipdish will be the go-to brand for online ordering for on-demand food businesses. Flipdish make branded ordering apps and websites for quick service delivery and takeout restaurants. Take control by using the Flipdish online ordering platform and power your online ordering business with your own branded website and app.
FlixBus,53ac35bb-6b2c-fc90-2223-de1cb4d72e9a,"FlixBus is a unique combination of tech-startup, e-commerce platform, and transportation company. FlixMobility is a young mobility provider, offering new alternatives for convenient, affordable, and environmentally-friendly travel via the FlixBus and FlixTrain brands. Thanks to a unique business model and innovative technology, the startup has quickly established Europe’s largest long-distance bus network and launched the first green long-distance trains in 2018 as well as a pilot project for all-electric buses in Germany and France. Since 2013, FlixMobility has changed the way over 100 million people have traveled throughout Europe and created thousands of new jobs in the mobility industry. In 2018, FlixMobility launched FlixBus USA to bring this new travel alternative to the United States. From locations throughout Europe and the United States, the FlixTeam handles technology development, network planning, operations control, marketing & sales, quality management, and continuous product expansion. The daily scheduled service and green FlixBus fleet are managed by bus partners from regional SMEs, while FlixTrain operates in cooperation with private train companies. Through these partnerships, innovation, entrepreneurial spirit, and a strong international brand meet the experience and quality of tradition. The unique combination of a technology start-up, e-commerce platform, and classic transport company has positioned FlixMobility as a leader against major international corporations, permanently changing the European mobility landscape."
FloQast,a77f295e-43d6-95e3-48af-d06fa32ac4d7,"FloQast builds cloud-based software that helps manage accounting departments by centralizing the workflow, assigning tasks, maintaining supporting documentation, and automating reconciliations. It specializes in the fields of accounting, financial services, and software as a service."
Flock Freight,c33c8cba-b890-05f0-b0d6-f1a73f3f95fc,"Flock Freight is reimagining and reinventing the freight industry by relentlessly eliminating inefficiency and waste through algorithmic pooling. Working at the intersection of cutting-edge technology and human-centric logistics management, Flock Freight tailors its shipping experience to meet your business’s needs. Flock Freight seamlessly pools any freight to find the perfect route, avoiding terminals and risky offloads so that a shipment travels safely and directly to its destination, damage-free. The result: on-time delivery with every shipment—guaranteed. With venture capital from Google Ventures and SignalFire, Flock Freight is one of the largest startups in San Diego, California. The company's team is obsessed with aggressively growing its customer base, constantly improving the technology platform, and delivering a superior customer experience. Flock Freight aims to fundamentally change the $60 billion LTL freight industry across North America with FlockDirect—one pooled shipment at a time."
Flock Safety,df42b071-8bfd-2397-d2fe-a283a3030e89,"Flock Safety is a crime-fighting technology company that offers security systems to capture images while the proprietary machine-learning algorithm identifies a vehicle fingerprint. The company builds outdoor camera hardware and write machine-learning software for wireless security systems that automatically record the license plate of every car that drives through the neighborhood. Its system provides data to local police officers when crimes occur and also proactively notify them when a stolen vehicle enters a neighborhood that enables residents to assist police in solving crimes by forwarding them data, thereby keeping there neighborhood safe. Founded in 2017, Flock Safety is headquartered in Atlanta, Georgia."
Floryn,0c2ad6dc-c164-9b70-07f8-c39df0cec7f5,"Floryn is a technology-driven automated B2B lending company, with strong growth in the high volume loan segment"
Flow Cannabis Co.,c7ba22ba-1d79-e099-891e-b961bf5f8805,"Formed in 2015 with the launch of its top-selling flower line as its flagship brand (Flow Kana), Flow Cannabis Co. aims to build a more sustainable future. Headquartered in Mendocino County - the “gateway” to California’s famed Emerald Triangle region - Flow Cannabis Co. offers a wide range of California’s top-selling cannabis CPG brands and a series of services including processing, co-packing, manufacturing, white-labeling, and distribution to a growing list of partners at various levels of the supply chain who share our values and vision of building a sustainable and inclusive cannabis industry."
Flow Commerce,6dfbe8ce-f621-0410-6f83-24dbc80361da,"Flow provides a turn-key platform for e-commerce companies to go global, capturing international demand for their products. The platform enables merchants to simply configure their cross-border supply-chain requirements and immediately fulfill their overseas demand. Flow can be used by e-commerce companies of any size and both as a complete, end-to-end solution or as a modular unbundled product. Using the Flow platform the experience of buying and selling internationally is as easy as domestic for both merchants and consumers."
Flutterwave,08fb213a-b9df-8412-840b-a2db3e49ec0f,"Flutterwave provides a payment service for global merchants and payment service providers. It provides technology, infrastructure, and services to enable global merchants, payment service providers, and helps banks and businesses build secure and seamless payment solutions for their customers by smoothening the exchange of funds. The company was founded in 2016 by Iyinoluwa Aboyeji and Olugbenga Agboola and is headquartered in San Francisco, California."
Fly Now Pay Later,1ee99be9-8732-630c-ea21-a475c5a2be71,"Fly Now Pay Later is an embedded finance company developed exclusively for the travel industry. We enable consumers to instantly spread the cost of their holiday, making travel more affordable and payment more flexible via our powerful two-sided network."
Flyhomes,a0a0ba0a-a488-6012-cb06-e0f11d0d2bef,"Flyhomes is an end-to-end real estate brokerage and technology company that empowers home buyers, sellers, and agents to win. They are transforming the homebuying and selling experience through comprehensive consumer education, segmented expertise, financial innovation, and on-demand technology."
FogPharma,7db20bd4-3fe9-3321-8472-1dbc9a593d4e,"FogPharma was born from the scientific and entrepreneurial vision of founder Greg Verdine, a pioneer in the discovery and development of new drug classes that “drug the undruggable.” FogPharma’s cell-penetrating miniproteins (CPMPs) are a broad new class of medicines that can drug targets beyond the reach of conventional therapeutics. Together with world-leading experts and collaborators in cancer biology and therapy, our team is building a drug discovery powerhouse having passion, knowledge, and creativity to develop fundamentally new cancer treatments. FogPharma derives financial support from a unique syndicate of extraordinary private and institutional investors. FogPharma’s network of friends includes our founders, employees, investors, advisors, collaborators, and cancer patients; all working together to pioneer a unique approach toward conquering cancer. We are laser-focused and unstoppable in our mission to deliver the new class of medicines to patients and their families to bring them years to life and life to years."
Foodics,47a3b0f6-f36d-efc2-e70a-f412f2a774a1,"Foodics offers a cloud-based all-in-one restaurant management system on an iPad in English and Arabic. With multiple add-on iOS apps and building on more, thousands of restaurants, food trucks, cafes, and fast-food chains across the Middle East are hiking their revenues and building their relationships with diners. Offering high tech solutions and real-time management, Foodics powers its clients and provides a unique style of dining fit for the future. Their mission is to provide a restaurant management system that is so easy to use and won’t even need their guide. They have five locations across the Middle East that serves 24/7 and over a thousand customers who have rung up over a billion orders through the Foodics system."
Footprint,860db1c2-1921-45d9-a774-ccf17ea3d62c,"Footprint is a materials science technology company with a clear vision to create a healthier planet and healthier people. Phase one of our mission is to provide solutions that eliminate single-use and short-term use plastics in our food chain. Footprint’s team of engineers design, develop and manufacture biodegradable, compostable, and recyclable plant-based fiber materials that compete with plastic’s cost and exceed its performance, keeping harmful chemicals away from consumers in materials digestible by the earth. Footprint is rapidly expanding into new categories with unique and patented solutions for customers. Footprint’s products have already led to a global redirection of 61 million pounds of plastic waste from entering the air, earth, and water working with leading global consumer brands like Conagra, Kraft, Beyond Meat and more. Footprint was founded by former Intel engineers, Troy Swope and Yoke Chung who discovered plastic outgassing was damaging silicon chips, and were suspicious it was happening in the food coming home from the supermarkets wrapped in plastic. They set out to invent new materials to help companies get out of plastic and seven years later have become a leader in materials science solutions due to increased demand for sustainable solutions by companies looking to meet ESG and climate goals, consumer demand, and regulations banning single-use plastics. The company has operations in the U.S., Mexicali, Europe, and Asia. Footprint was named to the 2020 Fortune “Change the World” list in 2020, is a member of the World Economic Forum’s Global Innovators Community and was named a CNBC Disruptor 50 company in 2021."
Forendo Pharma,aa43043f-0ba0-cec1-522c-e04f06f8c9b3,"Forendo Pharma is a developer of novel drugs intended for the treatment of urological and other endocrinological diseases. The company's drugs are competent in tissue-specific hormone mechanisms for the treatment of broader gynecological conditions and Fispemifene, a novel SERM, enabling medical companies to improve the treatment of male urological conditions and giving new opportunities to unmet needs in women's and men's health."
Forge Biologics,64d55951-d362-4fe4-9254-617625b922b3,"Forge Biologics is a gene therapy development engine, focused on enabling access to life-changing gene therapies and helping bring them from an idea into reality. The company partners with innovators in the gene therapy community: scientists, physicians, biotech/pharma companies, and patient groups. It was founded in 2020 and headquartered in Grove City, Ohio."
ForgeRock,19c67439-0994-f6cd-9d24-766397175180,"ForgeRock is a multinational software company that develops commercial open-source identity and access management products. The companyis transforming the way organizations interact securely with customers, employees, devices, and things. Organizations adopt the ForgeRock Identity Platform as their digital identity system of record to monetize customer relationships, address stringent regulations for privacy and consent (GDPR, HIPAA, FCC privacy, etc.), and leverage the internet of things. ForgeRock serves hundreds of brands, including Morningstar, Vodafone, GEICO, Toyota, TomTom, and Pearson, as well as governments like Norway, Canada, and Belgium, securing billions of identities worldwide. ForgeRock has offices across Europe, the USA, and Asia."
Form Energy,3b8abc89-b859-4793-b6b4-c4273880e0e8,"Form Energy develops and commercializes a low-cost battery system that can store wind and solar energy for a long duration. It aims to make batteries that can dispatch energy for days, expanding the ability to supply electricity generated from wind and solar power to the grid. The company's technology transforms the electric grid by making renewable energy dispatchable year-round, as well as extending transmission capacity without building new wires, and replacing the need for conventional thermal generation. Its core technology was invented at MIT and is supported by investors which include Breakthrough Energy Ventures, MIT’s The Engine, Macquarie Capital, Eni Next, Capricorn Investment Group, and Prelude Ventures. Their team members are active learners who like working on tough technology problems that can only be solved with a combination of scientific innovation and hard work. Co-founders Marco Ferrara, Mateo Jaramillo, Yet-Ming Chiang, William Woodford, and Ted Wiley headquartered the company in Somerville, Massachusetts in 2017."
Formlabs,4557ecd0-4857-c69b-c419-d75c3e7044f3,"Formlabs is developing an affordable high-resolution 3D printer to enable designers, engineers, and makers to easily realize their dreams in beautiful physical form. It manufactures 3D printing systems for various industries such as education, dentistry, health care, jewelry, and research. Formlabs is the professional 3D printer of choice for engineers, designers, manufacturers, and decision-makers around the globe. Formlabs products include Form 3, Form 3B, and Form 3L, powered by Low Force Stereolithography (LFS)™ 3D printing, Form 2 SLA 3D printer, Form Wash and Form Cure post-processing solutions, Fuse 1 SLS 3D printer, and Form Cell manufacturing solution. Formlabs also develops its own suite of high-performance materials that continue to push the boundaries for 3D printing, as well as best-in-class 3D printing software."
Forte,fd6d7462-6642-4b56-8eca-5a9b628fe22c,"Forte is building economic technology for games that is secure, easy to use, and fully compliant. Its end-to-end blockchain platform enables the emergence of community economics, a system where the interests of game developers and players are aligned, leading to healthier, sustainable game communities. The team is composed of longtime industry members (Unity, ngmoco, Riot Games, Electronic Arts, Sony, and Rockstar Games, among others), and is currently working with over 25 acclaimed game developers from across the globe to reimagine the economics of games."
Forter,5f42acbb-cf04-6a86-ab06-a4dfa9910894,"Forter is an NYC-based company that delivers real-time, completely automated, fraud prevention solutions for online merchants. It creates a completely fraud-free environment for the retailers through which they have the ability to make decisions that are solely based on what is good for their business. The company’s system is designed to be consumer-centric, blocking fraud with accuracy, and at the same time enabling growth by increasing approvals and ensuring a better customer experience."
Forterro,1d305e98-c709-b204-64b4-d4d642881b7e,Forterro is a federation of ERP product companies serving mid-market companies with local software around the globe.
Forto,280ea415-1313-5e5a-a752-4406d5dc1637,"Forto was founded in Berlin in 2016 under the name FreightHub by Erik Muttersbach and Michael Wax. The company develops groundbreaking, scalable, digital logistics technology and services that go beyond transportation from point A to point B. The easy to use and intuitive platform allows their customers to optimize and, therefore, own their entire global supply chain processes. With over 2,000 customers and 9 global offices, Forto currently employs 200+ people. They are passionate about global trade, and aim to increase global prosperity while driving sustainability. Forto is a brand of FreightHub GmbH."
Fortress Information Security,4faa665a-156b-2be8-bf06-fc599dfe7291,"Fortress Information Security helps companies stop emerging cyber threats that pose the biggest risk to their business. The clients benefit from a unique “Technology, Analytics and Services” (TAS) approach to protecting their connected assets. Fortress has deep, combined expertise in both cyber security and specific industry sectors – like energy, manufacturing, and finance – to provide solutions that specifically tie into the business processes of our clients. The centerpiece of their technology, the Fortress Platform, gives clients a “single source of truth” on emerging risk. The Fortress Platform leverages automation, alerting, escalation, and a variety of other advanced functions with service levels assigned whenever appropriate to ensure and measure execution and compliance. We take a holistic view of risks across our client's entire digital ecosystem of IT, operational technology (OT), third parties, and the extended supply chain to better prioritize and unlock the value of existing technology investments. By leveraging everything from risk assessments and security scoring models, to continuous monitoring of third parties and system reviews from elite analyst teams, Fortress connects traditionally disparate sources of information to help clients uncover not just emerging cyber risks, but every ripple of business impact that flows from those risks. Fortress delivers what our clients need to enable their processes and be on the path to security and regulatory compliance at a fraction of the time it would take the enterprise to learn about, compare, select and purchase new tools. Check out our website to learn about all of our solutions including Third-Party Risk Management, Vulnerability Risk Management, and Asset to Vendor Networks for power utilities."
Forward,c5b6f994-c7b4-5cad-fe5c-921bf272d2af,"Forward is a startup redesigning the way healthcare is delivered using all the technologies healthcare has neglected such as sensors, mobile, and AI. Forward was founded in January 2016 by former executives and engineering leaders from Google and Uber and led by serial entrepreneur Adrian Aoun. Forward is funded by investors and entrepreneurs including First Round Capital, Eric Schmidt (Google/Alphabet chairman), Marc Benioff (Salesforce founder), Joe Lonsdale (Palantir founder), Joshua Kushner (Oscar co-founder), and Garrett Camp (Uber co-founder)."
Founderpath,180994f5-0245-4182-a021-d1aeabdb2907,"Founderpath helps founders get capital without having to raise equity. Founders connect their bank accounts, customer information, and other data to get a credit score. Based on this credit score, Founderpath lends the company money. Better credit scores get better rates, cheaper capital. Founderpath has a debt fund so it invests directly in companies."
Fountain,7e1e2046-4f52-35f5-444d-8be791aa844a,"Fountain is the market leader in high volume hiring because its solutions enable customers to get ahead of their hiring goals. Fountain’s all-in-one platform enables companies to find qualified candidates and move them from application to onboarding quicker, reducing time to hire from weeks to days—or even hours. By simplifying the screening, interviewing and hiring experience, Fountain’s solutions keep applicants happy while ensuring organizations have pipelines full of hourly talent that are ready to work. Hundreds of customers use Fountain’s solutions to hire over 3 million workers annually in more than 75 countries."
Four Spring Capital Trust,1ed8980f-5c0b-4228-a250-b14a2208229d,"Four Spring Capital Trust manages real estate investment trust focusing on industrial, medical, retail, and office properties. They seek to acquire single‑tenant net lease properties throughout the United States that are leased to high-quality tenants and have remaining lease terms in excess of 10 years with contractual rent increases. The firm was founded in 2012 and is headquartered in Lake Como, New Jersey."
FourKites,587e4c56-d684-fb5a-ccfd-0fe2c070c916,"FourKites is a supply chain visibility platform that extends visibility beyond transportation into yards, warehouses, stores, and beyond. Tracking 3 million shipments daily across road, rail, ocean, air, parcel, and courier, and reaching 210 countries and territories, FourKites combines real-time data and powerful machine learning to help companies digitize their end-to-end supply chains. More than 1,200 of the world’s most recognized brands — including 9 of the top-10 CPG and 18 of the top-20 food and beverage companies — trust FourKites to transform their business and create more agile, efficient, and sustainable supply chains."
Fourth Partner Energy,2ec585a8-0bea-aa8a-6038-6c2ae4f2fa7a,"Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India. The company specializes in manufacturing solar energy based applications and its current product portfolio includes solar lanterns, home lighting systems, solar street lights, and photovoltaic panels. Fourth Partner Energy aims to build, develop, and manage a large operating portfolio of de-centralized solar power assets in India and is positioned as a leading renewable energy services company. It strives to be a partner for sustainable change and endeavors to do so by providing products and services that improve the renewable resources available on the planet, and provide its customers with better quality at lower costs. Fourth Partner Energy is an MNRE empanelled Channel Partner and an ISO 9001:2008 certified company. It is also registered as a partner with state bodies such as RREC, TNREDC, and NREDCAP. The company was founded in 2010 by [Vikas saluguti](https://www.crunchbase.com/person/vikas-saluguti), [Saif Dhorajiwala](https://www.crunchbase.com/person/saif-dhorajiwala), and [Vivek Subramanian](https://www.crunchbase.com/person/vivek-subramanian-3). It is based in Hyderabad, India."
Foxtrot,d6729200-041b-c8de-6b06-4422e07eeb38,"Foxtrot is a mobile app that lets customers shop their curated collections of drinks, food, and everyday essentials. The customer's order will be delivered straight to them in under an hour. The company was co-founded by Mike LaVitola with Brian Jaffee and Taylor Bloom in 2013 in Chicago, Illinois."
Fraction,84e4295d-2c60-4da3-bf5c-f49a41979350,"Fraction is a technology-based lending platform focused on making residential real estate affordable, flexible, and liquid. The company was founded in 2018 by Hayden James, Josh Baker, and Rayan Rafay and is headquartered in Vancouver, British Columbia, Canada."
Fractyl Health,14a8cd39-010e-ea26-8afd-513320dd9e3c,"Fractyl Health develops innovative medical device solutions for the treatment of chronic diseases. The growing product pipeline leverages our minimally invasive procedural therapy, Revita DMR (duodenal mucosal resurfacing), which is designed to rejuvenate the lining of the duodenum and improve patient health. They envision a world with better solutions to chronic diseases through the use of less invasive, device-based therapies that will lessen the burden on patients, physicians, and payers. Fractyl Health aims to bring curative therapies to the large populations of patients with metabolic disease."
Frame.io,a82855c1-f98e-0a85-f495-24d0c7fe2b65,"Frame.io is a cloud-based video collaboration platform that allows users to upload source media and assets into private workspaces. It is used by media companies to streamline their video review and collaboration process with teammates, clients, and a variety of stakeholders. It supports over over 1 million media professionals and companies by bringing together media and stakeholders in a single platform for efficient and intuitive collaboration."
FreeWire Technologies,bc2a281e-55dd-b15c-19de-2ee708be381b,"FreeWire Technologies is the leading manufacturer of battery-integrated EV charging stations and power solutions in the U.S. The Company’s fully-integrated Boost Charger plugs into existing and ubiquitous low-voltage utility service and delivers high-power charging in areas that typically require extensive grid upgrades. The Boost Charger’s combination of proprietary battery and power conversion technology enables ultrafast EV charging at all locations, freeing customers from the costs of providing fast charging using power directly from the electric grid. FreeWire has deployed battery-integrated chargers with Fortune 100 companies, commercial customers, fleets, retail locations, and gas stations across the U.S. and has partnered with bp pulse to deploy Boost Charger in its operations across the UK."
Freenome,45c9bfea-d2a2-56dc-6dda-bd6f20e35fb2,"Freenome is a biotech company developing accurate, accessible, and non-invasive disease screening products for proactively treating cancer and other diseases at their most manageable stages. The company is developing a simple blood test to detect early-stage cancer and make treatments more effective and provides a platform that helps design healthy conditions for an individual based on his/her cell-free genome. The company aims to reinvent disease management through systematized early detection and intervention. Charles Roberts, Gabriel Otte, Riley Ennis, and Michael Otte launched the company in 2014 in South San Francisco, California."
Freepoint Commodities,086c02bb-9943-522d-ca7d-5488ff87c6a0,"Freepoint Commodities offers commodity trading services to provide mid-stream commodity-producing assets. The company also provides physical supply services and risk management products for customers and trades natural gas and power, global oil and oil products, coal, emissions, and metals and metal concentrates."
FreshRealm,7857d5df-debe-c7c6-3c4e-1982cf28fd67,"FreshRealm is a vision for the future of food made possible by a temperature-controlled, reusable shipping vessel and a B2B2C cloud-based technology platform. The result is faster distribution, fewer preservatives, reduced food waste, and nationwide eradication of fresh food deserts. At the core of FreshRealm’s efforts are a desire to elevate the presence of Gratitude, Gifting, and Connection between people, organizations, our environment, and ourselves."
Fresha,cc5bfb94-218b-e386-9f98-b153b4ec7b4f,"Fresha is the leading marketplace platform for beauty & wellness trusted by millions of consumers and businesses worldwide. Fresha allows consumers to discover, book and pay for beauty and wellness appointments with local businesses via its marketplace, while beauty and wellness businesses and professionals use an all-in-one platform to manage their entire operations with its intuitive free business software and financial technology solutions. Fresha’s ecosystem gives merchants everything they need to run their business seamlessly by facilitating appointment bookings, point-of-sale, customer records management, marketing automation, loyalty, beauty products inventory and team management. The consumer marketplace unlocks revenue potential for partner businesses by leveraging the power of online bookings and automated marketing through mobile apps and advanced integrations with major tech brands including Instagram, Facebook and Google. Fresha is used by 80,000+ businesses and 300,000+ professionals worldwide, processing over 30mil appointments per month. Fresha is headquartered in London, United Kingdom with global offices located in New York City, Vancouver, Sydney, Dublin, Amsterdam, Dubai and Warsaw."
Freshly,72ae3c89-193a-84d3-f079-7765934fab03,"Freshly delivers gourmet ready-made meals, prepared and delivered at the door. It is dedicated to making healthy eating and achieving health and fitness goals easier than ever. They simply want to improve life by delivering fresh, healthy, and delicious meals to the doorstep. Freshly makes this possible and easier than ever by offering high-quality, professionally-prepared meals, based on the paleo principles. The experienced chefs at Freshly utilize locally-sourced and all-natural ingredients to create fresh, gourmet ready-made meals designed to optimize health. Each meal is carefully curated with all-natural ingredients that are high in protein, low in carbs and free of gluten, added sugar, artificial sweeteners, and hormones. It was founded in 2012 and is headquartered in New York, New York."
Freshworks,5f70da8a-f873-cf5f-05ee-8ab0c49c220d,"Freshworks provides innovative customer engagement software for businesses of all sizes, making it easy for teams to acquire, close, and keep their customers for life. Freshworks SaaS products provide a 360-degree view of the customer, are ready to go, easy to use, and oﬀer quick return on investment. It was founded in 2010 and Headquartered in San Mateo, USA."
Front,09c002e2-918d-7caa-ebbc-96656f13dff8,"Front is a communication hub for building strong customer relationships on digital channels. For many businesses, almost every customer conversation can make or break the relationship — the stakes are that high. Front puts these conversations at the center of a team’s attention and surrounds them with collaboration capabilities and contextual data from multiple systems. This lets teams stay focused on delivering timely, accurate, and deeply personalized communications. More than 7,500 businesses, including Shopify, Airbnb, Hulu, Lyft, and Mailchimp, use Front to build better customer relationships, one conversation at a time. To learn more, visit front.com."
Frontier Medicines,4c505de8-61de-4305-ac46-10bf412446a5,"Frontier Medicines’is a developer of a chemoproteomics platform intended to further accelerate the path to drug discovery. The company's platform integrates advanced computational approaches and machine learning to discover and pharmacologically target new binding pockets on proteins, making them accessible to small-molecule drug discovery and development, enabling patients to consume breakthrough medicines that redefine the course of debilitating diseases."
Frubana,9f2a2eb8-3e42-88ff-4d7c-6ae5e6794eed,"Frubana is a one-stop shop for restaurants that connect the countryside and different suppliers with the city through a digital platform. The company was founded in 2018 and is headquartered in Bogotá, Distrito Especial, Colombia."
FullStory,cb4fe666-2935-a7bf-4b87-b562bc8776a6,"FullStory is a customer experience data app that captures customer experience data in one platform. Its tiny script unlocks pixel-perfect session playback, automatic insights, funnel analytics, and robust search and segmentation empowering everyone in an organization to help build an online experience for customers. The company was founded in 2014 and is headquartered in Atlanta, Georgia."
Fullscript,cf956093-1c74-b142-e8ed-f7335f040b46,"Fullscript is a free supplement dispensing platform and patient adherence tool that supports practitioners at the point of care and beyond. Seamlessly switch between virtual dispensing, in-office sales, and group care in a mix that fits your workflow. Recommend industry-leading supplements then use Fullscript patient adherence features to automate refills, provide education, and promote continued wellness from anywhere—even your EHR. Choose a margin or no-margin account before browsing over 300 practitioner-grade brands with the industry’s best search. Treat your patients while promoting your practice with ready-made marketing support, optional patient promotions, and curated wellness content to keep your practice top-of-mind."
Function of Beauty,cddab474-3565-1ca1-ce17-3f0e99b034e6,"Function of Beauty offers personalized hair care products tailored to its customers' specific hair profile and goals. It enables users to create shampoos, conditioners, and styling products based on their individual hair type, hair goals, and aesthetic preferences (including color + fragrance). It uses ingredients that are free of sulfates, parabens, phthalates, or any other potentially harmful toxins or ingredients in their formulas. The New York, New York-based company was founded in 2015 by Hien Nguyen, Joshua Maciejewski, and Zahir Dossa."
FundPark,9f4536b6-6778-4ead-856e-6922a9f3903f,"FundPark is a FinTech focused trade finance platform. FundPark provide purchase order financing and invoice financing to Small and Medium enterprises (SMEs), hence business owners can focus on its own business development, and FundPark can take care of its funding for working capital production."
Fundbox,a9042057-9dda-5582-a6dc-19550c40c07e,"Fundbox is an AI-powered financial platform for small businesses that offer fast and intuitive access to business credit. The company is on a mission to empower the small business economy by unlocking customer growth. It is headquartered in San Francisco, California by co-founders Eyal Shinar, Tomer Michaeli, and Yuval Ariav in 2013."
